,id,position,trackname,artist,streams,url,date,region
44,612220,22,Cold Water (feat. Justin Bieber & MØ),Major Lazer,21442,https://open.spotify.com/track/6DNtNfH8hXkqOX1...,2017-01-10 00:00:00,nz
45,242372,173,Laula lujempaa (Show Must Go On),Haloo Helsinki!,5338,https://open.spotify.com/track/7twLnN62kZTfE6Q...,2017-04-09 00:00:00,fi
46,688571,34,Location,Khalid,1119,https://open.spotify.com/track/152lZdxL1OR0ZMW...,2017-04-04 00:00:00,ee
47,485240,42,All We Know,The Chainsmokers,65113,https://open.spotify.com/track/2rizacJSyD9S1IQ...,2017-04-27 00:00:00,ph
48,78344,145,Work from Home,Fifth Harmony,23421,https://open.spotify.com/track/4tCtwWceOPWzenK...,2017-01-21 00:00:00,fr
49,697054,37,Santa Baby,Eartha Kitt,1450,https://open.spotify.com/track/1foCxQtxBweJtZm...,2017-12-23 00:00:00,ee
50,337813,14,Party On The West Coast (feat. Snoop Dogg),Matoma,73059,https://open.spotify.com/track/45OfR7ugJMgbFDu...,2017-07-28 00:00:00,no
51,605675,77,I Like Me Better,Lauv,5246,https://open.spotify.com/track/1wjzFQodRWrPcQ0...,2017-12-17 00:00:00,tw
52,510338,140,Beautiful Soul,Jesse McCartney,22060,https://open.spotify.com/track/1HwpWwa6bnqqRhK...,2017-09-02 00:00:00,ph
53,542617,19,"你,好不好? - Ending Theme Song of TVBS Ser...",Eric Chou,10600,https://open.spotify.com/track/2gug6MRv4xQFYi9...,2017-02-02 00:00:00,tw
54,93745,146,Lush Life,Zara Larsson,26126,https://open.spotify.com/track/1rIKgCH4H52lrvD...,2017-04-08 00:00:00,fr
55,525362,164,More Than Words,Extreme,21127,https://open.spotify.com/track/1gVgkQFOKa8Wc1H...,2017-11-16 00:00:00,ph
56,327340,141,Be Mine,Ofenbach,12094,https://open.spotify.com/track/2KklXplRtxMsBYo...,2017-06-05 00:00:00,no
57,346306,107,Go Flex,Post Malone,18047,https://open.spotify.com/track/5yuShbu70mtHXY0...,2017-09-08 00:00:00,no
58,121902,103,Sunset Lover,Petit Biscuit,30372,https://open.spotify.com/track/0hNduWmlWmEmuwE...,2017-08-30 00:00:00,fr
59,32998,199,This Is What You Came For,Calvin Harris,1670,https://open.spotify.com/track/0azC730Exh71aQl...,2017-06-17 00:00:00,ec
60,360998,199,Awful Things,Lil Peep,9911,https://open.spotify.com/track/0bcEHhsuLRDm712...,2017-11-20 00:00:00,no
61,870906,116,Reggaetón Lento (Remix),CNCO,1009,https://open.spotify.com/track/3zoYkqS4y2BsGVS...,2017-09-13 00:00:00,sv
